곡 명, 아티스트, 작곡가, 작사가, 편곡자, 스트리밍 수, 좋아요 수, 발매시점, 기획사, 발매사, 장르, 재생시간
새삥 (Prod. by ZICO) (Feat. 호미들), 지코 (ZICO), 지코 (ZICO) & CK & Louie, , 지코 (ZICO) & Poptime, 19591683, 18882, 2022.09.06, Stone Music Entertainment, 지니뮤직, 가요 / 랩/힙합, 02:27
After LIKE, IVE (아이브), Ryan S. Jhun & Anders Nilsen & Andre Jensen & Iselin Solheim & F. Perren & D. Fekaris, 서지음, Ryan S. Jhun & Anders Nilsen & AVIN (아빈) & SLAY (슬레이), 29503022, 29565, 2022.08.22, 스타쉽 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 02:57
Hype boy, NewJeans, 250 & Ylva Dimberg, Gigi & Ylva Dimberg & 하니 (HANNI), 250, 25732893, 22417, 2022.08.01, ADOR, YG PLUS, 가요 / 댄스, 02:57
Shut Down, BLACKPINK, TEDDY & 24, TEDDY & Danny Chung & Vince, 24, 14028467, 14983, 2022.09.16, YG Entertainment, YG PLUS, 가요 / 랩/힙합, 02:56
Attention, NewJeans, 250 & Duckbay, Gigi & Duckbay & 다니엘 (DANIELLE), 250, 27202120, 25736, 2022.08.01, ADOR, YG PLUS, 가요 / 댄스, 02:58
Pink Venom, BLACKPINK, TEDDY & 24 & R.Tee & IDO, TEDDY & Danny Chung, 24 & R.Tee & IDO, 22103549, 20893, 2022.09.16, YG Entertainment, YG PLUS, 가요 / 랩/힙합, 03:07
Rush Hour (Feat. j-hope of BTS), Crush, Crush & j-hope & 페노메코 (PENOMECO), , Crush & 홍소진, 8728947, 12962, 2022.09.22, 피네이션, Dreamus, 가요 / R&B/소울, 02:57
LOVE DIVE, IVE (아이브), Sophia Brennan & Elle Campbell & Nick Hahn, 서지음, Nick Hahn, 51495987, 38210, 2022.04.05, 스타쉽 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 02:57
Monologue, 테이 (Tei), 박덕정, 이도연, 이기환, 8028554, 9972, 2022.09.18, 방구석 캐스팅, 카카오엔터테인먼트, 가요 / 발라드, 04:22
Nxde, (여자)아이들, 전소연 & Poptime & Kako, 전소연, Poptime & Kako & 전소연, 8860320, 14606, 2022.10.17, 큐브 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 02:58
사건의 지평선, 윤하 (YOUNHA), 윤하 (YOUNHA) & JEWNO (손준호), 윤하 (YOUNHA), JEWNO (손준호) & 숀 (SHAUN), 10221548, 22641, 2022.03.30, ㈜씨나인이엔티, 카카오엔터테인먼트, 가요 / 락, 05:01
그때 그 순간 그대로 (그그그), WSG워너비 (가야G), Dokkun (김도훈) & 용배, Dokkun (김도훈) & 용배, 용배 & 김민기, 29914429, 25595, 2022.07.09, 문화방송, 카카오엔터테인먼트, 가요 / 발라드, 03:43
우린 그렇게 사랑해서, 강민경 (다비치) & 잔나비 최정훈, 강민경 (다비치) & 캡틴플래닛, 잔나비 최정훈 & 강민경 (다비치), 캡틴플래닛, 6399193, 9277, 2022.09.26, WAKEONE &  페포니 뮤직, 지니뮤직 &  Stone Music Entertainment, 가요 / 발라드, 03:42
딱 10CM만, 10CM & BIG Naughty (서동현), TOIL & BIG Naughty (서동현), BIG Naughty (서동현) & 10CM, TOIL & BIG Naughty (서동현), 5575004, 10142, 2022.09.25, MAGIC STRAWBERRY SOUND &  H1GHR MUSIC RECORDS, 카카오엔터테인먼트, 가요 / R&B/소울, 03:16
TOMBOY, (여자)아이들, 전소연 & Poptime & JENCI, 전소연, Poptime & JENCI & 전소연, 52558097, 39696, 2022.03.14, 큐브 엔터테인먼트, 카카오엔터테인먼트, 가요 / 락, 02:54
LAW (Prod. by Czaer), 비비 (BIBI) & 윤미래, Czaer & 어드밴스드 (Advanced) & RYS, 윤미래 & 비비 (BIBI), Czaer & 어드밴스드 (Advanced) & RYS, 7064290, 7260, 2022.09.06, Stone Music Entertainment, 지니뮤직, 가요 / 랩/힙합, 03:09
보고싶었어, WSG워너비 (4FIRE), 조영수, 조영수 & 한길 (Han Gil), 조영수 & 한길 (Han Gil), 23902622, 22745, 2022.07.09, 문화방송, 카카오엔터테인먼트, 가요 / R&B/소울, 03:28
Cookie, NewJeans, FRNK & Ylva Dimberg, Gigi & Ylva Dimberg, FRNK, 11763060, 13027, 2022.08.01, ADOR, YG PLUS, 가요 / 댄스, 03:53
그라데이션, 10CM, 10CM & 고영배 (소란), 10CM, 10CM & 이요한 & 성수용 & 이윤혁 & 방인재, 14009340, 18785, 2022.07.03, 매직스트로베리사운드, 카카오엔터테인먼트, 가요 / 인디, 03:21
자격지심 (Feat. ZICO), BE'O (비오), BE'O (비오) & 지코 (ZICO), , OBSN (우비소년) & willy & BE'O (비오) & 지코 (ZICO), 4652816, 7139, 2022.09.29, 빅플래닛메이드 &  SWING ENTERTAINMENT &  페임어스 엔터테인먼트, 카카오엔터테인먼트, 가요 / 랩/힙합, 03:15
사랑인가 봐, 멜로망스 (MeloMance), 멜로망스 (MeloMance), 김민석 (멜로망스), 정동환 (멜로망스), 38591401, 32406, 2022.02.18, 플렉스엠, 카카오엔터테인먼트, OST / 드라마, 03:05
That's Hilarious, Charlie Puth, , , , 18830701, 24455, 2022.10.07, Atlantic Records, 워너뮤직, POP / 팝, 02:27
나의 X에게, 경서, 이래언 & Rayker Dane & 신수윤, 이래언 & Rayker Dane & 신수윤, 이래언 & Rayker Dane, 25725374, 26178, 2022.04.24, 꿈의 엔진, 카카오엔터테인먼트, 가요 / 인디, 03:08
FOREVER 1, 소녀시대 (GIRLS' GENERATION), KENZIE & Ylva Dimberg, KENZIE, KENZIE & Moonshine, 13473293, 16809, 2022.08.05, SM ENTERTAINMENT, Dreamus, 가요 / 댄스, 03:23
사랑은 늘 도망가, 임영웅, 홍진영, 강태규, 한밤 (Midnight), 140247161, 50016, 2021.10.11, 모스트콘텐츠, NHN벅스, OST / 드라마, 04:03
내가 아니라도, 주호, 주호 & B.O.K, 주호 & B.O.K, B.O.K, 19969453, 17397, 2022.03.25, IN A MILLION, 워너뮤직, 가요 / 발라드, 04:08
That That (Prod. & Feat. SUGA of BTS), 싸이 (Psy), 싸이 (Psy) & SUGA, , SUGA & 싸이 (Psy) & EL CAPITXN, 35404923, 26697, 2022.04.29, P NATION, Dreamus, 가요 / 댄스, 02:55
ANTIFRAGILE, LE SSERAFIM (르세라핌), SCORE (13) & Megatone (13) & Paulina 'PAU' Cerrilla & 'Hitman' Bang & Shintaro Yasuda & Supreme Boi & Isabella LoveStory & Kyler Niko & Ronnie Icon & Nathalie Boone & Danke, SCORE (13) & Megatone (13) & Paulina 'PAU' Cerrilla & 'Hitman' Bang & Shintaro Yasuda & Supreme Boi & Isabella LoveStory & Kyler Niko & Ronnie Icon & Nathalie Boone & Danke, , 6282546, 9224, 2022.10.17, 쏘스뮤직, YG PLUS, 가요 / 댄스, 03:04
ELEVEN, IVE (아이브), Peter Rycroft & Lauren Aquilina & Ryan S. Jhun, 서지음 & Peter Rycroft & Lauren Aquilina & Ryan S. Jhun, Peter Rycroft & Ryan S. Jhun & Alawn, 37731182, 27244, 2021.12.01, 스타쉽 엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 02:58
다정히 내 이름을 부르면, 경서예지 & 전건호, 한상원 & 이진성 (먼데이 키즈/Monday Kiz), 한상원 & 이진성 (먼데이 키즈/Monday Kiz), 한상원, 62622184, 43106, 2021.05.19, 에버그로우, 카카오엔터테인먼트, 가요 / 발라드, 03:51
해요 (2022), #안녕, 박광현, 유유진, 임정규 & Noise_bo2, 12044914, 11283, 2022.06.07, 일팔 프로젝트, 지니뮤직, 가요 / 발라드, 03:58
정이라고 하자 (Feat. 10CM), BIG Naughty (서동현), BIG Naughty (서동현), , TOIL & BIG Naughty (서동현) & KIXO (키조), 23381713, 27792, 2022.04.20, H1GHR MUSIC RECORDS, 카카오엔터테인먼트, 가요 / 인디, 03:09
취중고백, 김민석 (멜로망스), 김희탐, 김희탐, AIMING, 47468869, 33865, 2021.12.19, 프로젝트 리본, 워너뮤직, 가요 / 발라드, 03:48
SNEAKERS, ITZY (있지), Didrik Thott & Sebastian Thott & Jessica Pierpoint, FRIDAY. (GALACTIKA *) & OGI (GALACTIKA *) & Didrik Thott & Jessica Pierpoint, Sebastian Thott, 12683180, 10903, 2022.07.15, (주)JYP엔터테인먼트, Dreamus, 가요 / 댄스, 02:59
LOVE me, BE'O (비오), BE'O (비오) & TOIL, BE'O (비오), BE'O (비오) & TOIL, 24300156, 23108, 2022.04.12, BPM ENTERTAINMENT &  SWING ENTERTAINMENT &  페임어스 엔터테인먼트, 카카오엔터테인먼트, 가요 / 랩/힙합, 02:53
Love story, 볼빨간사춘기, 안지영 & 바닐라맨 (바닐라 어쿠스틱), 안지영, 바닐라맨 (바닐라 어쿠스틱), 13740516, 16686, 2022.04.20, 쇼파르엔터테인먼트, NHN벅스, 가요 / 인디, 03:17
내 기쁨은 너가 벤틀리를 끄는 거야, 김승민, 김승민 & Minit & basecamp, 김승민, Minit & basecamp, 11266187, 13363, 2021.10.19, 뷰티플노이즈, 지니뮤직 &  Stone Music Entertainment, 가요 / 랩/힙합, 03:02
Stay, The Kid LAROI & Justin Bieber, , , , 61147702, 52748, 2021.07.09, Columbia, Sony Music, POP / 팝, 02:22
너의 모든 순간, 성시경, , , , 69080544, 47204, 2014.02.12, ㈜SBS콘텐츠허브 (㈜에스비에스콘텐츠허브), NHN벅스, OST / 드라마, 04:03
신호등, 이무진, 이무진, 이무진, 유종호 & 이무진, 77277581, 65754, 2021.05.14, 쇼플레이엔터테인먼트, 카카오엔터테인먼트, 가요 / 락, 03:52
FEARLESS, LE SSERAFIM (르세라핌), SCORE (13) & Megatone (13) & Supreme Boi & BLVSH & JARO & Nikolay Mohr & 'Hitman' Bang & Oneye & Josefin Glenmark & emmy kasai & Kyler Niko & PAU & Destiny Rogers, SCORE (13) & Megatone (13) & Supreme Boi & BLVSH & JARO & Nikolay Mohr & 'Hitman' Bang & Oneye & Josefin Glenmark & emmy kasai & Kyler Niko & PAU & Destiny Rogers, , 18076887, 13662, 2022.05.02, 쏘스뮤직, YG PLUS, 가요 / 댄스, 02:48
봄여름가을겨울 (Still Life), BIGBANG (빅뱅), KUSH (쿠시) & VVN & Vince & G-DRAGON & T.O.P, G-DRAGON & T.O.P & KUSH (쿠시), KUSH (쿠시) & 서원진 & 24, 40702629, 43944, 2022.04.05, YG Entertainment, YG PLUS, 가요 / 락, 03:08
우리들의 블루스, 임영웅, 이승주 & 최인환, 지훈, 이승주 & 최인환, 70790921, 26026, 2022.05.02, 물고기뮤직, Dreamus, 가요 / 발라드, 03:27
도깨비불 (Illusion), aespa, Gharah 'PK' Degeddingseze & Patricia 'Tricia' Battani & Steve Octave, 이토르 (라라라스튜디오), Gharah 'PK' Degeddingseze & Patricia 'Tricia' Battani & Steve Octave, 12011327, 10996, 2022.07.08, SM ENTERTAINMENT, Dreamus, 가요 / 댄스, 03:15
POP!, 나연 (TWICE), KENZIE & Hayden Chapman & Greg Bonnick & Ellen Berg, 이스란, LDN Noise, 16064759, 14184, 2022.06.24, (주)JYP엔터테인먼트, Dreamus, 가요 / 댄스, 02:48
Loving You Girl (Feat. Hkeem), Peder Elias, , , , 16454795, 29147, 2022.04.29, Columbia, Sony Music, POP / 팝, 02:52
I Don't Think That I Like Her, Charlie Puth, , , , 3709000, 9086, 2022.10.07, Atlantic Records, 워너뮤직, POP / 팝, 03:09
주저하는 연인들을 위해, 잔나비, 잔나비 최정훈 & 김도형 & 유영현, 잔나비 최정훈, 잔나비 최정훈 & 김도형 & 유영현 & 권박사, 100717062, 81261, 2019.03.13, 페포니 뮤직, 카카오엔터테인먼트, 가요 / 인디, 04:25
strawberry moon, 아이유 (IU), 아이유 (IU) & 이종훈, 아이유 (IU), 이종훈 & 이채규, 42054259, 37815, 2021.10.19, EDAM엔터테인먼트, 카카오엔터테인먼트, 가요 / 락, 03:25
밤하늘의 별을 (2020), 경서, 강봄, 강봄, 양정승 (Kiroy Y), 60444167, 49745, 2020.11.14, 꿈의 엔진, 카카오엔터테인먼트, 가요 / 인디, 03:37
새벽에 걸려온 너의 전화는, 한동근, Noheul (노을), Noheul (노을), Noheul (노을), 6169171, 6952, 2022.07.31, 말하는, 카카오엔터테인먼트, 가요 / 발라드, 03:58
모든 날 모든 순간 (Every day Every Moment), 폴킴, 어깨깡패, 어깨깡패, 어깨깡패, 183091670, 105694, 2018.03.20, SM ENTERTAINMENT, Dreamus, OST / 드라마, 03:31
MY BAG, (여자)아이들, 전소연 & 네이슨 (NATHAN), 전소연, 네이슨 (NATHAN) & FLIP_00, 17560456, 14320, 2022.03.14, 큐브 엔터테인먼트, 카카오엔터테인먼트, 가요 / 랩/힙합, 02:41
이제 나만 믿어요, 임영웅, 조영수, 김이나, 조영수 & 이유진, 256005645, 55802, 2020.04.03, TV CHOSUN, 카카오엔터테인먼트, 가요 / 트로트, 04:03
Bad Habits, Ed Sheeran, , , , 41025971, 37116, 2021.10.29, Atlantic Records UK, 워너뮤직, POP / 팝, 03:51
스티커 사진, 21학번, 이래언 & 호베 (hobass), 이래언 & 호베 (hobass), 이래언 & 호베 (hobass), 5381242, 8255, 2022.07.12, ㈜제나두엔터테인먼트, NHN벅스, 가요 / 인디, 03:08
다시 만날 수 있을까, 임영웅, 이적, 이적, 양시온, 61223762, 21081, 2022.05.02, 물고기뮤직, Dreamus, 가요 / 발라드, 04:34
2002, Anne-Marie, , , , 152767840, 105300, 2018.04.27, Atlantic Records UK, 워너뮤직, POP / 팝, 03:07
Dynamite, 방탄소년단, David Stewart & Jessica Agombar, David Stewart & Jessica Agombar, , 151116676, 103240, 2020.08.21, BIGHIT MUSIC, YG PLUS, 가요 / 댄스, 03:19
바보에게 바보가 (웹툰 '연애의 발견' X 이석훈), 이석훈, MINUKI, 원태연 & MINUKI, 이기환, 8598182, 7901, 2022.07.11, TOON STUDIO, 카카오엔터테인먼트, 가요 / 발라드, 03:49
회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom), sokodomo, sokodomo & Zion.T & 원슈타인, , Slom & Zion.T & sokodomo & JUNU PARK & Fisherman & 원슈타인, 46249231, 41908, 2021.11.13, Stone Music Entertainment, 지니뮤직, 가요 / 랩/힙합, 04:10
Feel My Rhythm, Red Velvet (레드벨벳), Jake K (ARTiffect) & Maria Marcus & Andreas Öberg & MCK (ARTiffect), 서지음, Jake K (ARTiffect) & MCK (ARTiffect), 29461749, 23121, 2022.03.21, SM ENTERTAINMENT, Dreamus, 가요 / 댄스, 03:30
팡파레, 다비치, 한경수 & 룩원 (LOOGONE), 한경수 & 룩원 (LOOGONE) & 다비치 & 박오달, 룩원 (LOOGONE), 11325722, 9690, 2022.05.16, WAKEONE, 지니뮤직 &  Stone Music Entertainment, 가요 / 발라드, 03:29
OHAYO MY NIGHT, 디핵 (D-Hack) & PATEKO, PATEKO (파테코) & 디핵 (D-Hack), 디핵 (D-Hack), PATEKO (파테코), 51536880, 48525, 2020.06.20, NEOKIDZ, YG PLUS, 가요 / 랩/힙합, 03:59
Next Level, aespa, Mario Marchetti & Adam McInnis & Sophie Curtis & 유영진, 유영진, Mario Marchetti & Adam McInnis & 유영진, 70663467, 49381, 2021.05.17, SM ENTERTAINMENT, Dreamus, 가요 / 댄스, 03:42
듣고 싶을까, MSG워너비 (M.O.M), 박근태 & Dokkun (김도훈) & 강지원 (MVL), Dr.JO & 원슈타인, 강지원 (MVL), 27481194, 20951, 2022.02.26, 문화방송, 지니뮤직 &  Stone Music Entertainment, 가요 / 발라드, 02:48
Bad, Christopher, , , , 42376130, 48661, 2019.11.08, Parlophone Denmark, 워너뮤직, POP / 팝, 03:12
사랑한다고 말해줘, 탑현, 윤일진 & 고선생 & 탑현, 윤일진 & 고박사 & 탑현, 한길 (Han Gil), 5407121, 8098, 2022.08.07, 탑현월드, 카카오엔터테인먼트, 가요 / 발라드, 03:19
Celebrity, 아이유 (IU), Ryan S. Jhun & Jeppe London & Lauritz Christiansen & 아이유 (IU) & Chloe Latimer & Celine Svanback, 아이유 (IU), Jeppe London & Lauritz Christiansen & Ryan S. Jhun, 81468077, 68831, 2021.03.25, EDAM엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 03:16
GANADARA (Feat. 아이유), 박재범, 박재범 & WOOGIE & 김하온 (HAON), , WOOGIE & 박재범, 27148723, 22367, 2022.03.11, MORE VISION, 카카오엔터테인먼트, 가요 / R&B/소울, 03:24
바라만 본다, MSG워너비 (M.O.M), 박근태 & Dokkun (김도훈) & 강지원 (MVL), 강은경 & Dokkun (김도훈), 강지원 (MVL), 64481310, 46299, 2021.06.26, 유야호, 지니뮤직 &  Stone Music Entertainment, 가요 / 발라드, 03:32
내 손을 잡아, 아이유 (IU), 아이유 (IU), 아이유 (IU), G.고릴라, 57137281, 43441, 2011.05.25, 더그루브엔터테인먼트 (더그루브컴퍼니), 카카오엔터테인먼트, OST / 드라마, 03:15
INVU, 태연 (TAEYEON), Peter Wallevik & Daniel Davidsen & Tich & Jess Morgan, 진리 (Full8loom), PhD, 27176311, 23265, 2022.02.14, SM ENTERTAINMENT, Dreamus, 가요 / 댄스, 03:25
언제나 사랑해, 케이시 (Kassy), 조영수, 조영수 & 베리 (Rocoberry), 조영수 & 한길 (Han Gil), 18078180, 14852, 2022.02.07, 도토리뮤직, 카카오엔터테인먼트, 가요 / 발라드, 03:24
고백, 멜로망스 (MeloMance), 김C & 고범준, 김C, 정동환 (멜로망스), 27473025, 22913, 2021.08.29, 카카오엔터테인먼트 &  민트페이퍼 &  광합성, 카카오엔터테인먼트, 가요 / 인디, 03:54
Left and Right (Feat. Jung Kook of BTS), Charlie Puth & 정국 & 방탄소년단, , , , 8770591, 14606, 2022.06.24, Atlantic Records, 워너뮤직, POP / 팝, 02:35
너를 생각해, 주시크 (Joosiq), 주시크 (Joosiq) & 안성현 (펀치사운드), MR.BLACK, 안성현 (펀치사운드), 30378824, 30801, 2021.09.22, 주식회사 레시피뮤직, 워너뮤직, 가요 / 인디, 03:33
리무진 (Feat. MINO) (Prod. by GRAY), BE'O (비오), BE'O (비오) & GRAY (그레이) & MINO (송민호), , BE'O (비오) & GRAY (그레이), 40324631, 35385, 2021.11.20, Stone Music Entertainment, 지니뮤직, 가요 / 랩/힙합, 03:41
Weekend, 태연 (TAEYEON), RoseInPeace & Saimon & Willemijn van der Neut & Marcia Sondeijker, 황유빈, Saimon & RoseInPeace, 46614418, 38661, 2021.07.06, SM ENTERTAINMENT, Dreamus, 가요 / 댄스, 03:53
Dangerously, Charlie Puth, , , , 9551650, 17528, 2016.11.11, Artist Partner, 워너뮤직, POP / 팝, 03:19
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야, 장범준, 장범준, 장범준, 장범준 & 전영호 & 민재현 & 이규형, 147753823, 86440, 2019.08.23, Stone Music Entertainment &  삼화네트웍스, 지니뮤직 &  Stone Music Entertainment, OST / 드라마, 02:49
Butter, 방탄소년단, Jenna Andrews & Rob Grimaldi & Stephen Kirk & RM & Alex Bilowitz & Sebastian Garcia & Ron Perry, Jenna Andrews & Rob Grimaldi & Stephen Kirk & RM & Alex Bilowitz & Sebastian Garcia & Ron Perry, , 74012829, 55236, 2021.05.21, BIGHIT MUSIC, YG PLUS, 가요 / 댄스, 02:44
Stronger (What Doesn't Kill You), Kelly Clarkson, , , , 19829553, 22039, 2012.02.06, RCA Records Label, Sony Music, POP / 팝, 03:42
에잇 (Prod. & Feat. SUGA of BTS), 아이유 (IU), 아이유 (IU) & SUGA, , SUGA & 아이유 (IU) & EL CAPITXN, 97957355, 78269, 2020.05.06, EDAM엔터테인먼트, 카카오엔터테인먼트, 가요 / 락, 02:48
무지개, 임영웅, 멧돼지 & 김시온, 김시온 & 멧돼지, 김시온 & 멧돼지 & 정수완, 31913879, 16967, 2022.05.02, 물고기뮤직, Dreamus, 가요 / 전체, 03:16
Every Second, Mina Okabe, , , , 10372019, 17886, 2021.05.21, Universal Music (Denmark) A/S, Universal Music, POP / 팝, 03:02
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온), 마크툽 (Maktub), 마크툽 (Maktub), , 마크툽 (Maktub), 128674511, 80647, 2019.06.09, (주)MAKTUB Company, 워너뮤직, 가요 / 인디, 04:26
어떻게 이별까지 사랑하겠어 널 사랑하는 거지, AKMU (악뮤), 이찬혁, 이찬혁, 이현영, 116274973, 92097, 2019.09.25, (주)YG엔터테인먼트, YG PLUS, 가요 / 발라드, 04:50
문득, BE'O (비오), BE'O (비오) & rubyboyyisthegenius & Mantra, BE'O (비오), Mantra, 32880858, 29405, 2021.05.02, BPM ENTERTAINMENT &  FameUs Entertainment, 지니뮤직 &  Stone Music Entertainment, 가요 / 랩/힙합, 02:37
Blueming, 아이유 (IU), 이종훈 & 이채규 & 아이유 (IU), 아이유 (IU), 이종훈 & 이채규, 119374408, 81096, 2019.11.18, 카카오엔터테인먼트, 카카오엔터테인먼트, 가요 / 락, 03:37
라일락, 아이유 (IU), 임수호 & Dr.JO & 웅킴 & N!ko, 아이유 (IU), 임수호 & 웅킴 & N!ko, 63650017, 52288, 2021.03.25, EDAM엔터테인먼트, 카카오엔터테인먼트, 가요 / 댄스, 03:34
열이올라요 (Heart Burn), 선미, 김규원 (Kyuwon 'Q' Kim) & CobiCudi (코비쿠디), 김규원 (Kyuwon 'Q' Kim) & CobiCudi (코비쿠디) & 선미, 김규원 (Kyuwon 'Q' Kim), 7592870, 7449, 2022.06.29, (주)어비스컴퍼니, 카카오엔터테인먼트, 가요 / 댄스, 03:13
통화연결음, 보라미유 & MJ (써니사이드), 정성헌, 김영아, CR KIM & 김수빈 & 조세희 & 강민훈, 4515649, 5986, 2022.08.14, 프로젝트 리본+, 카카오엔터테인먼트, 가요 / 발라드, 03:00
헤픈 우연, 헤이즈 (Heize), 헤이즈 (Heize) & 유건형, 헤이즈 (Heize), 유건형 & 고태영, 49379476, 40124, 2021.05.20, 피네이션, 지니뮤직 &  Stone Music Entertainment, 가요 / R&B/소울, 03:14
At My Worst, Pink Sweat$, , , , 42555767, 45170, 2020.07.17, Atlantic Records, 워너뮤직, POP / R&B/소울, 02:50
찰나가 영원이 될 때 (The Eternal Moment), 마크툽 (Maktub), 마크툽 (Maktub), 마크툽 (Maktub), DOKO (도코), 24315632, 18138, 2021.09.19, (주)MAKTUB Company, 워너뮤직, 가요 / 인디, 04:04
My Universe, Coldplay & 방탄소년단, , , , 33463039, 33804, 2021.09.24, Parlophone UK, 워너뮤직, POP / 팝, 03:48
Off My Face, Justin Bieber, , , , 29850319, 29737, 2021.03.19, Def Jam Recordings &  a division of UMG Recordings &  Inc, Universal Music, POP / 팝, 02:37
Girls, aespa, Ryan S. Jhun & Hanif Hitmanic Sabzevari & Dennis DeKo Kordnejad & Rodnae'Chikk' Bell & Pontus PJ Ljung & 유영진, 유영진, Ryan S. Jhun & Hanif Hitmanic Sabzevari & Dennis DeKo Kordnejad & Pontus PJ Ljung & 유영진, 8930752, 8617, 2022.07.08, SM ENTERTAINMENT, Dreamus, 가요 / 댄스, 04:00
못해, 김나영, 윤민수(바이브), 민연재, 전주현 & 김동휘, 1744877, 2739, 2022.10.05, 메이저나인, 지니뮤직, 가요 / 발라드, 04:10
드라마, 아이유 (IU), 아이유 (IU), 아이유 (IU), 아이유 (IU), 19149762, 24853, 2021.12.29, EDAM엔터테인먼트, 카카오엔터테인먼트, 가요 / 발라드, 02:08
늦은 밤 헤어지긴 너무 아쉬워, 케이시 (Kassy), 조영수, 케이시 (Kassy), 조영수 & 한길 (Han Gil), 9029838, 10432, 2022.05.19, 넥스타엔터테인먼트, 카카오엔터테인먼트, 가요 / 발라드, 02:44
아로하, 조정석, 위종수, 김태훈, 이상훈, 92232641, 63106, 2020.03.27, 스튜디오 마음C &  에그이즈커밍 &  Stone Music Entertainment, 지니뮤직 &  Stone Music Entertainment, OST / 드라마, 04:05
오래된 노래, Standing Egg (스탠딩 에그), Egg1 & Egg2 & Egg3, Egg1 & Egg2 & Egg3, Egg1 & Egg2 & Egg3, 77911609, 61998, 2012.09.04, 본(born), 카카오엔터테인먼트, 가요 / 발라드, 04:33
Tiny Riot, Sam Ryder, , , , 22717462, 23971, 2021.09.24, Parlophone UK, 워너뮤직, POP / 팝, 03:25
사이렌 Remix (Feat. UNEDUCATED KID & Paul Blanco), 호미들, Chin & UNEDUCATED KID & Paul Blanco, , Chin & 27 corazones, 35352611, 26465, 2021.03.20, 영앤리치 레코즈, 카카오엔터테인먼트, 가요 / 랩/힙합, 03:17
Talk that Talk, TWICE (트와이스), 이우민 'Collapsedone' & 마치 (MRCH), danke (lalala studio), 이우민 'Collapsedone' & 마치 (MRCH), 4430680, 4766, 2022.08.26, (주)JYP엔터테인먼트, Dreamus, 가요 / 댄스, 02:58
어제처럼, 폴킴, 심상원, 윤사라, HYUNKI & 도니제이 (Donnie J) & 조창현, 14816462, 12899, 2022.02.27, 메모리즈 프로젝트, 카카오엔터테인먼트, 가요 / 발라드, 03:56
abcdefu, GAYLE, , , , 27168768, 27487, 2021.08.13, Atlantic &  Arthouse Records, 워너뮤직, POP / 팝, 02:49
아무래도 난, 주시크 (Joosiq), 주시크 (Joosiq) & 안성현 (펀치사운드), Mr.Black (로맨틱시티), 안성현 (펀치사운드), 11823015, 14440, 2022.03.30, 주식회사 레시피뮤직, 워너뮤직, 가요 / 인디, 03:35
스물다섯 스물하나, 자우림, 김윤아, 김윤아, , 28023747, 37956, 2013.10.14, LOVE MANEUVER, ㈜인터파크, 가요 / 락, 04:44
Yet To Come, 방탄소년단, PDOGG & RM & MAX & Dan Gleyzer & SUGA & j-hope, PDOGG & RM & MAX & Dan Gleyzer & SUGA & j-hope, , 14046946, 18324, 2022.06.10, BIGHIT MUSIC, YG PLUS, 가요 / 랩/힙합, 03:14
서랍, 10CM, 남혜승 & 전종혁, 남혜승 & Janet Suhh (자넷서), 전종혁 & 허석 & 이재우, 17830754, 17939, 2021.12.07, 모스트콘텐츠, NHN벅스, OST / 드라마, 03:57
아버지, 임영웅, 우지민, 우지민, 장재원, 30327005, 14852, 2022.05.02, 물고기뮤직, Dreamus, 가요 / 발라드, 03:58
밤편지, 아이유 (IU), 김희원 & 제휘, 아이유 (IU), 김희원 & 제휘, 137067079, 101477, 2017.03.24, 카카오엔터테인먼트 &  ㈜페이브엔터테인먼트, 카카오엔터테인먼트, 가요 / 발라드, 04:13
호랑수월가, 탑현, 상록수, 상록수, 리베 피아노, 20228473, 18969, 2022.01.15, 탑현월드, 카카오엔터테인먼트, 가요 / 발라드, 04:41
Counting Stars (Feat. Beenzino), BE'O (비오), BE'O (비오) & 빈지노 (Beenzino), , BE'O (비오) & Kevin Jacoutot, 27010473, 27050, 2021.12.12, BPM ENTERTAINMENT &  FameUs Entertainment, 지니뮤직 &  Stone Music Entertainment, 가요 / 랩/힙합, 02:30
비가 오는 날엔 (2021), 헤이즈 (Heize), 최규성, 최규성 & 용준형, 623 & 헤이즈 (Heize), 23446737, 20552, 2021.08.04, PLAYLIST, 지니뮤직 &  Stone Music Entertainment, OST / 드라마, 03:50
안녕, 폴킴, 로코베리 & 폴킴, 폴킴 & 지훈 & 박세준, 로코베리, 99043109, 57754, 2019.08.12, 냠냠엔터테인먼트, Dreamus, OST / 드라마, 03:45
